State,Customer Name,Value Column Name,Value
"California","Ken Lonsdale","Sales","8341.29"
"California","Ken Lonsdale","Sales Margin %","0.0026374817324418642"
"California","Ken Lonsdale","Profit","378.2074"
"California","Ken Lonsdale","Profit Margin %","0.04534159584428787"
"California","Ken Lonsdale","% GT of Sales","0.0036310668971761928"
"California","Jane Waco","Sales","7381.89"
"California","Jane Waco","Sales Margin %","0.7214797294459819"
"California","Jane Waco","Profit","2069.6196"
"California","Jane Waco","Profit Margin %","0.28036445950833727"
"California","Jane Waco","% GT of Sales","0.003213428188876776"
"California","Karen Ferguson","Sales","7182.766"
"California","Karen Ferguson","Sales Margin %","0.33468471616644613"
"California","Karen Ferguson","Profit","878.439"
"California","Karen Ferguson","Profit Margin %","0.12229815087948014"
"California","Karen Ferguson","% GT of Sales","0.003126747044253664"
"California","Nick Crebassa","Sales","6275.476"
"California","Nick Crebassa","Sales Margin %","0.841792399492883"
"California","Nick Crebassa","Profit","560.2000000000002"
"California","Nick Crebassa","Profit Margin %","0.08926812882401275"
"California","Nick Crebassa","% GT of Sales","0.002731792464669573"
"California","Edward Hooks","Sales","5848.69"
"California","Edward Hooks","Sales Margin %","0"
"California","Edward Hooks","Profit","419.7522"
"California","Edward Hooks","Profit Margin %","0.07176858407609227"
"California","Edward Hooks","% GT of Sales","0.002546007230397867"
"California","Robert Marley","Sales","4881.132"
"California","Robert Marley","Sales Margin %","0.6085539174109612"
"California","Robert Marley","Profit","1598.5092"
"California","Robert Marley","Profit Margin %","0.3274873943175477"
"California","Robert Marley","% GT of Sales","0.002124817243609492"
"California","Max Jones","Sales","4823.09"
"California","Max Jones","Sales Margin %","0"
"California","Max Jones","Profit","626.4"
"California","Max Jones","Profit Margin %","0.1298752459522837"
"California","Max Jones","% GT of Sales","0.002099550841788443"
"California","William Brown","Sales","4811.27"
"California","William Brown","Sales Margin %","0.22875872690578583"
"California","William Brown","Profit","803.4052000000001"
"California","William Brown","Profit Margin %","0.1669840187725902"
"California","William Brown","% GT of Sales","0.002094405449322215"
"California","Keith Herrera","Sales","4778.651"
"California","Keith Herrera","Sales Margin %","0.8277455290206378"
"California","Keith Herrera","Profit","443.55039999999985"
"California","Keith Herrera","Profit Margin %","0.09281916591104893"
"California","Keith Herrera","% GT of Sales","0.0020802059944274695"
"California","Nora Preis","Sales","4652.9505"
"California","Nora Preis","Sales Margin %","0.004822746341273048"
"California","Nora Preis","Profit","250.1507999999999"
"California","Nora Preis","Profit Margin %","0.05376175826499764"
"California","Nora Preis","% GT of Sales","0.0020254870091735706"
"California","Clay Ludtke","Sales","4426.476"
"California","Clay Ludtke","Sales Margin %","0.003943543351415262"
"California","Clay Ludtke","Profit","716.3784"
"California","Clay Ludtke","Profit Margin %","0.1618394406747038"
"California","Clay Ludtke","% GT of Sales","0.0019268998529897512"
"California","Maribeth Schnelling","Sales","4231.634"
"California","Maribeth Schnelling","Sales Margin %","0.030120752409116675"
"California","Maribeth Schnelling","Profit","528.6408"
"California","Maribeth Schnelling","Profit Margin %","0.12492592695871146"
"California","Maribeth Schnelling","% GT of Sales","0.0018420827160265715"
"California","Rick Huthwaite","Sales","4115.7"
"California","Rick Huthwaite","Sales Margin %","0"
"California","Rick Huthwaite","Profit","508.50210000000004"
"California","Rick Huthwaite","Profit Margin %","0.12355178948902983"
"California","Rick Huthwaite","% GT of Sales","0.001791615209243181"
"California","Lena Radford","Sales","3968.524"
"California","Lena Radford","Sales Margin %","0"
"California","Lena Radford","Profit","769.8168999999998"
"California","Lena Radford","Profit Margin %","0.19398065880412965"
"California","Lena Radford","% GT of Sales","0.0017275476727279895"
"California","Sarah Brown","Sales","3862.098"
"California","Sarah Brown","Sales Margin %","0"
"California","Sarah Brown","Profit","425.8189"
"California","Sarah Brown","Profit Margin %","0.11025585057655192"
"California","Sarah Brown","% GT of Sales","0.0016812191161619339"
"California","Grace Kelly","Sales","3803.846"
"California","Grace Kelly","Sales Margin %","0"
"California","Grace Kelly","Profit","499.3275"
"California","Grace Kelly","Profit Margin %","0.13126911552150114"
"California","Grace Kelly","% GT of Sales","0.0016558612987386924"
"California","Sample Company A","Sales","3780.98"
"California","Sample Company A","Sales Margin %","0.0972049574448953"
"California","Sample Company A","Profit","914.9232"
"California","Sample Company A","Profit Margin %","0.24198043893382137"
"California","Sample Company A","% GT of Sales","0.0016459074455971725"
"California","Maria Etezadi","Sales","3769.912"
"California","Maria Etezadi","Sales Margin %","0.06403969111215328"
"California","Maria Etezadi","Profit","355.54540000000003"
"California","Maria Etezadi","Profit Margin %","0.09431132609991959"
"California","Maria Etezadi","% GT of Sales","0.0016410894080492696"
"California","Brosina Hoffman","Sales","3714.304"
"California","Brosina Hoffman","Sales Margin %","0"
"California","Brosina Hoffman","Profit","300.7686999999998"
"California","Brosina Hoffman","Profit Margin %","0.08097578981149625"
"California","Brosina Hoffman","% GT of Sales","0.0016168825565888634"
"California","Rick Wilson","Sales","3705.632"
"California","Rick Wilson","Sales Margin %","0.9568548630840839"
"California","Rick Wilson","Profit","995.8462"
"California","Rick Wilson","Profit Margin %","0.26873855795718515"
"California","Rick Wilson","% GT of Sales","0.0016131075275307306"
"California","Arianne Irving","Sales","3592.422"
"California","Arianne Irving","Sales Margin %","0"
"California","Arianne Irving","Profit","708.603"
"California","Arianne Irving","Profit Margin %","0.19724937660441896"
"California","Arianne Irving","% GT of Sales","0.0015638258117014864"
"California","Penelope Sewall","Sales","3372.852"
"California","Penelope Sewall","Sales Margin %","0.9961753435964578"
"California","Penelope Sewall","Profit","1056.3059999999998"
"California","Penelope Sewall","Profit Margin %","0.3131788765116287"
"California","Penelope Sewall","% GT of Sales","0.0014682442699240183"
"California","Fred Chung","Sales","3368.476"
"California","Fred Chung","Sales Margin %","0.597273069483054"
"California","Fred Chung","Profit","587.3051999999999"
"California","Fred Chung","Profit Margin %","0.17435338711037274"
"California","Fred Chung","% GT of Sales","0.0014663393428992963"
"California","Kelly Collister","Sales","3354.98"
"California","Kelly Collister","Sales Margin %","0"
"California","Kelly Collister","Profit","639.577"
"California","Kelly Collister","Profit Margin %","0.19063511555955623"
"California","Kelly Collister","% GT of Sales","0.0014604643668650991"
"California","Scot Coram","Sales","3339.122"
"California","Scot Coram","Sales Margin %","0"
"California","Scot Coram","Profit","275.90000000000003"
"California","Scot Coram","Profit Margin %","0.08262651080134241"
"California","Scot Coram","% GT of Sales","0.0014535611829624387"
"California","Christopher Conant","Sales","3136.868"
